"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Description__c","LLC_BI__Is_Template__c","LLC_BI__Screen__c","LLC_BI__lookupKey__c","LLC_BI__Is_Disabled__c","LLC_BI__Object_API_Name__c","LLC_BI__FScreen__c","LLC_BI__Linked_Placeholder_Id__c"
"a0P5w00000RGXJGEA5","0055w00000CM4vxAAD","","Standard Review Credit Memo (Account)","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Review Credit Memo (Account Only)","false","","42650221300043252","false","","a2G5w000001aMOqEAM",""
"a0P5w00000RGXJHEA5","0055w00000CM4vxAAD","","Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo","false","","42902654427517085","false","","a2G5w000001aMOrEAM","a2V5w0000028VxmEAE"
"a0P5w00000RGXJIEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo.  The baseline for starting to build custom templates.","false","","42973350789924529","false","","a2G5w000001aMOsEAM",""
"a0P5w00000RGXJJEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo.  The baseline for starting to build custom templates.","false","","42810822638524264","false","","a2G5w000001aMOtEAM",""
"a0P5w00000RGXJKEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo.  The baseline for starting to build custom templates.","false","","42195796811255154","false","","a2G5w000001aMOuEAM",""
"a0P5w00000RGXJLEA5","0055w00000CM4vxAAD","","Master Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Master Template with various Sub-Templates available including Long Form, Short Form, and SBA","true","","42555872947590336","false","LLC_BI__Product_Package__c","a2G5w000001aMOvEAM",""
"a0P5w00000RGXJMEA5","0055w00000CM4vxAAD","","Master Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Master Template with various Sub-Templates available including Long Form, Short Form, and SBA","false","","42850166289392493","false","","a2G5w000001aMOwEAM",""
"a0P5w00000RGXJNEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo.  The baseline for starting to build custom templates.","false","","42689744571912796","false","","a2G5w000001aMOxEAM",""
"a0P5w00000RGXJOEA5","0055w00000CM4vxAAD","","Commercial Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Default commercial credit memo created upon installing packages (not the PSO Master Gold Standard Version, build final templates from a different template).","true","","42423645491471242","true","LLC_BI__Loan__c","a2G5w000001aMOyEAM",""
"a0P5w00000RGXJPEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo.  The baseline for starting to build custom templates.","true","","8675309","false","LLC_BI__Loan__c","a2G5w000001aMOzEAM",""
"a0P5w00000RGXJQEA5","0055w00000CM4vxAAD","","Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo","false","","8675309PP","false","LLC_BI__Product_Package__c","a2G5w000001aMP0EAM",""
"a0P5w00000RGXJREA5","0055w00000CM4vxAAD","","Standard Review Credit Memo (Account)","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Review Credit Memo (Account Only). The baseline for starting to build custom templates.","true","","a0P5w00000RGXJR","false","LLC_BI__Review__c","a2G5w000001aMP1EAM",""
"a0P5w00000RGXJSEA5","0055w00000CM4vxAAD","","Standard Loan Commercial Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Commercial Level Credit Memo for a single loan","false","","42442923703874570","false","","a2G5w000001aMP2EAM",""
"a0P5w00000RGXJTEA5","0055w00000CM4vxAAD","","Standard Loan Commercial Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Commercial Level Credit Memo for a single loan","false","","42991954498998579","false","","a2G5w000001aMP3EAM",""
"a0P5w00000RGXJUEA5","0055w00000CM4vxAAD","","Standard Product Package Commercial Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Commercial Credit Memo","false","","42001228337851348","false","","a2G5w000001aMP4EAM",""
"a0P5w00000RGXJVEA5","0055w00000CM4vxAAD","","Standard Loan Commercial Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Commercial Level Credit Memo for a single loan","false","","42427535741828422","false","","a2G5w000001aMP5EAM",""
"a0P5w00000RGXJWEA5","0055w00000CM4vxAAD","","Standard Review Credit Memo (Product Package)","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Review Credit Memo (Product Package Only). The baseline for starting to build custom templates.","true","","a0P5w00000RGXJW","false","LLC_BI__Review__c","a2G5w000001aMP6EAM",""
"a0P5w00000RGXJXEA5","0055w00000CM4vxAAD","","Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo.  The baseline for starting to build custom templates.","true","","42542160945697970","false","LLC_BI__Product_Package__c","a2G5w000001aMP7EAM",""
"a0P5w00000RGXJYEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo","false","","42868223542569645","false","","a2G5w000001aMP8EAM",""
"a0P5w00000RGXJZEA5","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo","false","","42525156183131530","false","","a2G5w000001aMP9EAM",""
"a0P5w00000RGXJaEAP","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo","false","","42494518925673933","false","","a2G5w000001aMPAEA2",""
"a0P5w00000RGXJbEAP","0055w00000CM4vxAAD","","Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Default product package credit memo created upon installing packages (not the PSO Master Gold Standard Version, build final templates from a different template)..","true","","a0P5w00000RGXJbEAP","true","LLC_BI__Product_Package__c","a2G5w000001aMPBEA2",""
"a0P5w00000RGXJcEAP","0055w00000CM4vxAAD","","Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Default product package credit memo.","false","","42545549896320770","false","","a2G5w000001aMPCEA2",""
"a0P5w00000RGXJdEAP","0055w00000CM4vxAAD","","Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","Default product package credit memo.","false","","42368483116371108","false","","a2G5w000001aMPDEA2",""
"a0P5w00000RGXJeEAP","0055w00000CM4vxAAD","","Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo","false","","42828244416906386","false","","a2G5w000001aMPEEA2",""
"a0P5w00000RGXJfEAP","0055w00000CM4vxAAD","","Working - Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo","false","","42927227076973302","false","","a2G5w000001aMPFEA2",""
"a0P5w00000RGXJgEAP","0055w00000CM4vxAAD","","Working - Standard Product Package Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Product Package Credit Memo","false","","42536891957734696","false","","a2G5w000001aMPGEA2",""
"a0P5w00000RGXJhEAP","0055w00000CM4vxAAD","","Standard Loan Credit Memo","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","2020-05-14T11:36:46.000Z","0055w00000CM4vxAAD","","","","","","","nCino Standard Loan Credit Memo","false","","42338428140898438","false","","a2G5w000001aMPHEA2",""
